item,label,a,thresholds
ST250Q01JA,A room of your own,0.889,[-2.354]
ST250Q02JA,Computer for schoolwork,1.593,[-1.988]
ST250Q03JA,Educational software,0.861,[-1.541]
ST250Q04JA,Own phone with internet,1.333,[-3.505]
ST250Q05JA,Internet access,1.502,[-2.882]
ST251Q01JA,Cars,1.117,"[-2.223, -0.302, 1.579]"
ST251Q03JA,Bathrooms,1.794,"[-2.457, 0.173, 1.76]"
ST251Q04JA,Flush toilets,1.735,"[-2.351, -0.259, 1.371]"
ST251Q06JA,Musical instruments,0.857,"[-0.529, 0.896, 1.893]"
ST251Q07JA,Works of art,1.022,"[-0.995, -0.364, 0.137]"
ST254Q01JA,Televisions,0.768,"[-5.236, 0.474, 4.019]"
ST254Q02JA,Desktop computers,0.896,"[-0.879, 2.425, 4.853]"
ST254Q03JA,Laptops,1.529,"[-1.912, 0.524, 2.507]"
ST254Q04JA,Tablets,1.043,"[-1.147, 1.66, 3.651]"
ST254Q05JA,E-book readers,0.83,"[1.583, 4.476, 6.346]"
ST255Q01JA,Books at home (number),0.892,"[-3.623, -1.683, -0.609, 0.934, 2.005, 3.492]"
